Date,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women,Unemployment_Rate
2010-01-01,15.3,10.2,8.6,4.9,8.8,16.5,8.3,12.9,10.2,7.9,
2011-01-01,14.3,9.5,8.1,4.3,8.1,15.8,6.8,12.3,9.0,7.9,
2012-01-01,13.0,8.5,7.1,4.3,7.4,13.6,6.7,10.7,7.7,7.6,
2013-01-01,12.0,8.1,6.9,3.8,7.1,13.7,6.4,9.7,7.5,7.2,
2014-01-01,9.4,6.5,5.9,3.3,5.7,12.1,4.7,8.3,6.2,5.8,
2015-01-01,8.3,5.4,5.2,2.8,4.9,10.3,4.0,6.7,5.3,5.0,
2016-01-01,7.1,5.2,4.2,2.5,4.2,8.7,3.6,5.8,4.4,4.5,
2017-01-01,7.4,5.2,3.8,2.5,4.2,7.5,3.7,5.8,4.3,4.4,
2018-01-01,5.4,4.4,3.4,2.1,3.5,7.5,3.0,5.0,3.8,3.6,
2019-01-01,5.7,3.7,3.4,2.4,3.5,6.8,3.1,4.8,3.7,3.6,
2020-01-01,5.5,3.8,2.8,2.0,3.1,6.0,3.0,4.3,3.3,3.2,3.68
2010-02-01,15.8,10.7,8.1,4.9,8.9,16.1,8.2,12.7,10.3,8.0,3.67
2011-02-01,14.0,9.7,7.9,4.3,8.1,15.5,6.7,11.8,8.9,7.9,3.66
2012-02-01,13.1,8.3,7.2,4.2,7.4,14.0,6.2,10.9,7.7,7.6,3.65
2013-02-01,11.3,7.9,6.5,3.9,6.8,13.8,6.0,9.7,7.0,7.0,3.64
2014-02-01,9.8,6.4,6.0,3.4,5.8,11.8,5.9,8.2,6.3,5.9,3.63
2015-02-01,8.2,5.4,5.0,2.7,4.7,10.1,4.0,6.8,5.2,4.9,3.63
2016-02-01,7.0,5.2,4.2,2.5,4.3,8.5,3.8,5.4,4.5,4.5,3.62
2017-02-01,7.7,4.9,4.0,2.4,4.0,7.9,3.4,5.5,4.3,4.2,3.61
2018-02-01,5.7,4.4,3.5,2.2,3.7,6.7,2.9,4.9,3.7,3.8,3.6
2019-02-01,5.3,3.7,3.1,2.2,3.3,6.9,3.1,4.3,3.5,3.4,3.59
2020-02-01,5.7,3.6,3.0,1.9,3.1,5.8,2.5,4.4,3.3,3.1,3.58
2010-03-01,14.9,11.0,8.4,4.9,8.9,16.8,7.6,12.9,10.2,8.1,3.64
2011-03-01,14.1,9.7,7.5,4.4,8.0,15.8,7.3,11.6,8.8,7.8,3.69
2012-03-01,12.8,8.1,7.5,4.1,7.3,14.0,6.4,10.6,7.7,7.4,3.75
2013-03-01,11.1,7.7,6.3,3.8,6.7,13.0,5.1,9.3,6.9,6.9,3.8
2014-03-01,9.4,6.3,6.0,3.4,5.8,12.1,5.5,7.9,6.1,6.2,3.85
2015-03-01,8.6,5.3,4.8,2.4,4.8,9.9,3.2,6.8,5.1,4.9,3.91
2016-03-01,7.3,5.3,4.1,2.6,4.3,8.9,3.9,5.5,4.5,4.6,3.96
2017-03-01,6.6,4.9,3.7,2.4,3.9,7.9,3.3,5.0,4.2,3.9,4.02
2018-03-01,5.5,4.3,3.5,2.2,3.6,6.8,3.1,5.0,3.7,3.7,4.07
2019-03-01,5.8,3.7,3.4,2.0,3.4,6.6,3.1,4.7,3.6,3.3,4.12
2020-03-01,6.8,4.4,3.7,2.5,4.0,6.7,4.1,6.0,4.0,4.0,4.18
2010-04-01,14.7,10.8,8.4,4.8,9.0,16.6,7.0,12.5,10.2,8.3,4.18
2011-04-01,14.7,9.9,7.5,4.5,8.1,16.5,6.5,11.9,8.9,8.0,4.18
2012-04-01,12.5,8.0,7.6,4.0,7.4,13.3,5.4,10.3,7.6,7.4,4.18
2013-04-01,11.6,7.5,6.4,3.9,6.7,13.3,5.3,9.0,7.2,6.7,4.18
2014-04-01,8.7,6.2,5.7,3.3,5.3,11.6,5.9,7.2,5.9,5.6,4.18
2015-04-01,8.4,5.5,4.7,2.7,4.7,9.7,4.4,6.8,5.0,5.0,4.18
2016-04-01,7.6,5.5,4.2,2.4,4.4,8.8,3.8,6.1,4.6,4.6,4.18
2017-04-01,6.4,4.6,3.7,2.5,3.9,7.9,3.3,5.1,3.9,4.1,4.18
2018-04-01,5.8,4.3,3.4,2.1,3.6,6.4,2.8,4.8,3.7,3.5,4.18
2019-04-01,5.3,3.4,3.1,2.1,3.1,6.6,2.2,4.2,3.4,3.1,4.18
2020-04-01,9.95,7.15,5.65,3.35,5.9,11.05,5.0,8.1,6.55,5.6,4.18
2010-05-01,14.6,10.9,8.2,4.6,8.7,15.5,7.8,12.0,9.7,8.1,4.18
2011-05-01,14.5,9.6,7.8,4.5,7.9,16.3,7.2,11.6,8.8,8.0,4.18
2012-05-01,12.9,8.3,7.7,3.9,7.4,13.5,5.5,10.9,7.7,7.4,4.18
2013-05-01,11.0,7.3,6.5,3.9,6.7,13.4,4.5,9.0,7.1,6.5,4.18
2014-05-01,9.2,6.5,5.5,3.2,5.4,11.4,5.7,7.7,5.9,5.8,4.18
2015-05-01,8.7,5.8,4.4,2.8,4.8,10.3,4.1,6.8,5.2,5.1,4.18
2016-05-01,7.5,5.1,3.9,2.5,4.2,8.2,4.2,5.6,4.5,4.3,4.18
2017-05-01,6.3,4.8,4.1,2.3,3.8,7.7,3.7,5.2,4.0,4.1,4.18
2018-05-01,5.5,3.9,3.3,2.0,3.5,5.9,2.2,4.9,3.6,3.4,4.18
2019-05-01,5.4,3.6,2.8,2.1,3.3,6.2,2.5,4.2,3.4,3.3,4.18
2020-05-01,9.8,7.1,5.45,3.25,5.95,10.7,4.95,8.25,6.55,5.5,4.18
2010-06-01,14.2,10.6,8.1,4.4,8.6,15.2,7.4,12.3,9.7,7.7,4.18
2011-06-01,14.4,10.0,8.3,4.3,8.1,16.2,6.5,11.5,9.0,8.0,4.18
2012-06-01,12.6,8.6,7.3,4.0,7.3,14.5,6.1,10.9,7.7,7.4,4.18
2013-06-01,10.7,7.7,6.5,3.8,6.6,14.2,4.7,9.1,7.0,6.8,4.18
2014-06-01,9.2,5.9,5.2,3.3,5.3,11.0,4.7,7.8,5.7,5.3,4.18
2015-06-01,8.2,5.4,4.2,2.5,4.6,9.7,3.9,6.7,4.8,4.7,4.18
2016-06-01,7.6,5.1,4.2,2.5,4.3,8.8,3.5,5.9,4.5,4.4,4.18
2017-06-01,6.5,4.6,3.8,2.3,3.8,7.1,3.6,4.9,4.0,4.0,4.18
2018-06-01,5.5,4.1,3.3,2.3,3.5,6.5,3.2,4.5,3.7,3.6,4.18
2019-06-01,5.3,3.9,3.0,2.1,3.3,6.0,2.1,4.3,3.3,3.3,4.18
2020-06-01,9.4,6.95,5.65,3.3,5.9,10.8,5.0,8.25,6.45,5.6,4.18
2010-07-01,13.5,10.0,8.3,4.5,8.5,15.6,7.9,12.2,9.6,7.9,4.18
2011-07-01,14.5,9.1,8.3,4.2,8.0,15.9,7.4,11.2,8.8,7.9,4.18
2012-07-01,12.4,8.5,7.2,4.1,7.3,14.2,5.9,10.2,7.7,7.4,4.18
2013-07-01,10.8,7.5,6.1,3.8,6.5,12.6,5.3,9.4,7.0,6.3,4.18
2014-07-01,9.5,6.1,5.3,3.1,5.3,11.6,4.2,7.7,5.7,5.6,4.18
2015-07-01,8.3,5.5,4.3,2.5,4.5,9.1,3.9,6.9,4.8,4.8,4.18
2016-07-01,6.5,5.1,4.2,2.5,4.2,8.4,3.8,5.5,4.6,4.2,4.18
2017-07-01,7.1,4.5,3.7,2.3,3.7,7.4,3.8,5.1,4.0,3.9,4.18
2018-07-01,5.2,4.1,3.2,2.2,3.3,6.6,3.1,4.4,3.4,3.6,4.18
2019-07-01,5.2,3.6,3.2,2.1,3.3,5.9,2.8,4.5,3.3,3.3,4.18
2020-07-01,9.65,6.8,5.95,3.35,5.95,10.9,5.05,8.25,6.45,5.65,4.18
2010-08-01,14.1,10.0,8.7,4.6,8.6,15.9,7.3,12.0,9.6,8.0,4.18
2011-08-01,14.1,9.3,8.3,4.2,7.9,16.4,7.2,11.2,8.7,7.9,4.18
2012-08-01,11.8,8.6,6.7,4.1,7.2,13.8,5.9,10.1,7.6,7.3,4.18
2013-08-01,11.1,7.4,6.1,3.4,6.4,12.8,5.1,9.2,7.1,6.2,4.18
2014-08-01,9.2,6.1,5.3,3.2,5.3,11.4,4.5,7.4,5.7,5.6,4.18
2015-08-01,7.9,5.5,4.3,2.4,4.4,9.4,3.4,6.6,4.7,4.6,4.18
2016-08-01,7.4,5.0,4.2,2.6,4.3,8.0,4.1,5.6,4.5,4.4,4.18
2017-08-01,6.1,5.1,3.7,2.4,3.8,7.7,3.9,5.2,4.1,4.0,4.18
2018-08-01,5.7,3.9,3.5,2.0,3.4,6.3,3.0,4.7,3.5,3.5,4.18
2019-08-01,5.4,3.6,3.0,2.1,3.4,5.4,2.8,4.2,3.3,3.3,4.18
2020-08-01,10.5,6.65,5.95,3.3,6.0,10.7,4.7,8.25,6.45,5.65,4.18
2010-09-01,15.6,9.7,8.9,4.5,8.6,16.0,6.6,12.3,9.6,8.0,4.18
2011-09-01,14.3,9.4,8.5,4.2,7.9,15.9,8.0,11.2,8.7,8.2,4.18
2012-09-01,11.7,8.5,6.6,4.0,7.0,13.6,4.9,9.7,7.3,7.1,4.18
2013-09-01,10.5,7.6,6.1,3.7,6.3,13.0,5.4,8.8,7.1,6.2,4.18
2014-09-01,8.5,5.4,5.4,2.9,5.1,11.0,4.4,6.8,5.3,5.5,4.18
2015-09-01,7.9,5.3,4.3,2.5,4.4,9.3,3.5,6.2,4.7,4.6,4.18
2016-09-01,8.5,5.3,4.2,2.5,4.4,8.5,3.8,6.4,4.7,4.4,4.18
2017-09-01,6.7,4.4,3.6,2.3,3.7,7.2,3.6,5.1,3.9,3.9,4.18
2018-09-01,5.7,3.8,3.2,2.0,3.3,6.2,3.5,4.6,3.4,3.3,4.18
2019-09-01,4.8,3.6,2.9,2.0,3.2,5.5,2.5,3.9,3.2,3.1,4.18
2020-09-01,9.9,6.7,5.55,3.3,5.9,10.55,4.85,8.1,6.3,5.55,4.18
2010-10-01,15.0,9.8,8.2,4.6,8.6,15.6,7.2,12.3,9.4,8.0,4.18
2011-10-01,13.5,9.4,8.1,4.3,7.9,14.6,7.4,11.3,8.6,7.8,4.18
2012-10-01,12.1,8.3,6.9,3.7,6.9,14.1,4.9,10.0,7.2,7.1,4.18
2013-10-01,10.9,7.2,6.4,3.7,6.3,12.8,5.4,9.1,6.9,6.3,4.18
2014-10-01,8.1,5.7,4.9,3.0,4.9,10.6,5.1,6.8,5.1,5.4,4.18
2015-10-01,7.6,5.2,4.4,2.5,4.4,9.0,3.5,6.3,4.7,4.6,4.18
2016-10-01,7.4,5.4,3.9,2.6,4.4,8.4,3.4,5.8,4.6,4.4,4.18
2017-10-01,5.9,4.2,3.7,2.1,3.5,7.4,3.0,4.9,3.8,3.7,4.18
2018-10-01,5.9,4.0,3.1,2.0,3.3,6.3,3.1,4.4,3.5,3.4,4.18
2019-10-01,5.5,3.7,2.8,2.1,3.2,5.5,2.8,4.1,3.2,3.2,4.18
2020-10-01,10.45,6.85,5.7,3.55,6.05,10.85,5.15,8.5,6.55,5.8,4.18
2010-11-01,15.4,10.0,8.6,5.0,8.9,16.2,7.5,12.9,9.9,8.4,4.18
2011-11-01,12.8,8.8,7.7,4.4,7.7,15.6,6.4,11.2,8.2,7.8,4.18
2012-11-01,12.0,8.0,6.5,3.9,6.8,13.3,6.3,9.9,7.2,7.0,4.18
2013-11-01,10.7,7.2,6.4,3.4,6.1,12.3,5.2,8.7,6.6,6.2,4.18
2014-11-01,8.6,5.7,4.9,3.2,5.0,10.9,4.8,6.6,5.4,5.3,4.18
2015-11-01,6.8,5.4,4.4,2.5,4.4,9.4,3.9,6.4,4.8,4.6,4.18
2016-11-01,7.8,5.0,3.9,2.4,4.2,8.1,3.1,5.8,4.3,4.3,4.18
2017-11-01,5.2,4.4,3.6,2.1,3.7,7.4,3.0,4.8,3.8,3.7,4.18
2018-11-01,5.6,3.5,3.1,2.2,3.4,6.1,2.8,4.5,3.3,3.4,4.18
2019-11-01,5.3,3.7,2.9,2.0,3.2,5.6,2.6,4.2,3.2,3.2,4.18
2020-11-01,10.15,6.75,5.5,3.4,5.85,10.55,4.9,8.55,6.3,5.6,4.18
2010-12-01,15.0,9.8,8.1,4.8,8.5,15.5,7.2,12.9,9.4,8.0,4.18
2011-12-01,13.7,8.7,7.6,4.1,7.5,15.4,6.8,11.1,8.0,7.8,4.18
2012-12-01,11.8,8.0,6.9,4.0,6.9,14.0,6.6,9.6,7.2,7.4,4.18
2013-12-01,9.8,7.0,6.2,3.3,5.9,11.9,4.3,8.3,6.3,6.1,4.18
2014-12-01,8.6,5.3,5.0,2.8,4.7,10.6,4.4,6.4,5.2,5.1,4.18
2015-12-01,6.4,5.6,4.1,2.5,4.4,8.5,4.1,6.2,4.6,4.5,4.18
2016-12-01,7.5,5.1,3.8,2.5,4.2,7.9,2.7,5.9,4.4,4.3,4.18
2017-12-01,6.2,4.2,3.6,2.2,3.7,6.7,2.5,5.0,3.7,3.7,4.18
2018-12-01,5.8,3.8,3.3,2.2,3.4,6.6,3.3,4.4,3.6,3.5,4.18
2019-12-01,5.2,3.7,2.7,1.9,3.2,5.9,2.5,4.2,3.1,3.2,4.18
2020-12-01,5.2,3.7,2.7,1.9,3.2,5.9,2.5,4.2,3.1,3.2,4.18
